,m,q,r,n,k,d,k*
1012,19,7,9,524288,167960,256,1
1013,19,8,9,524288,92378,512,1
1014,19,0,10,524288,354521,2,1
1015,19,1,10,524288,354502,4,1
1016,19,2,10,524288,354331,8,1
1017,19,3,10,524288,353362,16,1
1018,19,4,10,524288,349486,32,1
1019,19,5,10,524288,337858,64,1
1020,19,6,10,524288,310726,128,1
1021,19,7,10,524288,260338,256,1
1022,19,8,10,524288,184756,512,1
1023,19,9,10,524288,92378,512,0
1024,19,0,11,524288,430103,2,1
1025,19,1,11,524288,430084,4,1
1026,19,2,11,524288,429913,8,1
1027,19,3,11,524288,428944,16,1
1028,19,4,11,524288,425068,32,1
1029,19,5,11,524288,413440,64,1
1030,19,6,11,524288,386308,128,1
1031,19,7,11,524288,335920,256,1
1032,19,8,11,524288,260338,256,0
1033,19,9,11,524288,167960,256,0
1034,19,10,11,524288,75582,256,0
1035,19,0,12,524288,480491,2,1
1036,19,1,12,524288,480472,4,1
1037,19,2,12,524288,480301,8,1
1038,19,3,12,524288,479332,16,1
1039,19,4,12,524288,475456,32,1
1040,19,5,12,524288,463828,64,1
1041,19,6,12,524288,436696,128,1
1042,19,7,12,524288,386308,128,0
1043,19,8,12,524288,310726,128,0
1044,19,9,12,524288,218348,128,0
1045,19,10,12,524288,125970,128,0
1046,19,11,12,524288,50388,128,0
1047,19,0,13,524288,507623,2,1
1048,19,1,13,524288,507604,4,1
1049,19,2,13,524288,507433,8,1
1050,19,3,13,524288,506464,16,1
1051,19,4,13,524288,502588,32,1
1052,19,5,13,524288,490960,64,1
1053,19,6,13,524288,463828,64,0
1054,19,7,13,524288,413440,64,0
1055,19,8,13,524288,337858,64,0
1056,19,9,13,524288,245480,64,0
1057,19,10,13,524288,153102,64,0
1058,19,11,13,524288,77520,64,0
1059,19,12,13,524288,27132,64,0
1060,19,0,14,524288,519251,2,1
1061,19,1,14,524288,519232,4,1
1062,19,2,14,524288,519061,8,1
1063,19,3,14,524288,518092,16,1
1064,19,4,14,524288,514216,32,1
1065,19,5,14,524288,502588,32,0
1066,19,6,14,524288,475456,32,0
1067,19,7,14,524288,425068,32,0
1068,19,8,14,524288,349486,32,0
1069,19,9,14,524288,257108,32,0
1070,19,10,14,524288,164730,32,0
1071,19,11,14,524288,89148,32,0
1072,19,12,14,524288,38760,32,0
1073,19,13,14,524288,11628,32,0
1074,19,0,15,524288,523127,2,1
1075,19,1,15,524288,523108,4,1
1076,19,2,15,524288,522937,8,1
1077,19,3,15,524288,521968,16,1
1078,19,4,15,524288,518092,16,0
1079,19,5,15,524288,506464,16,0
1080,19,6,15,524288,479332,16,0
1081,19,7,15,524288,428944,16,0
1082,19,8,15,524288,353362,16,0
1083,19,9,15,524288,260984,16,0
1084,19,10,15,524288,168606,16,0
1085,19,11,15,524288,93024,16,0
1086,19,12,15,524288,42636,16,0
1087,19,13,15,524288,15504,16,0
1088,19,14,15,524288,3876,16,0
1089,19,0,16,524288,524096,2,1
1090,19,1,16,524288,524077,4,1
1091,19,2,16,524288,523906,8,1
1092,19,3,16,524288,522937,8,0
1093,19,4,16,524288,519061,8,0
1094,19,5,16,524288,507433,8,0
1095,19,6,16,524288,480301,8,0
1096,19,7,16,524288,429913,8,0
1097,19,8,16,524288,354331,8,0
1098,19,9,16,524288,261953,8,0
1099,19,10,16,524288,169575,8,0
1100,19,11,16,524288,93993,8,0
1101,19,12,16,524288,43605,8,0
1102,19,13,16,524288,16473,8,0
1103,19,14,16,524288,4845,8,0
1104,19,15,16,524288,969,8,0
1105,19,0,17,524288,524267,2,1
1106,19,1,17,524288,524248,4,1
1107,19,2,17,524288,524077,4,0
1108,19,3,17,524288,523108,4,0
1109,19,4,17,524288,519232,4,0
1110,19,5,17,524288,507604,4,0
1111,19,6,17,524288,480472,4,0
1112,19,7,17,524288,430084,4,0
1113,19,8,17,524288,354502,4,0
1114,19,9,17,524288,262124,4,0
1115,19,10,17,524288,169746,4,0
1116,19,11,17,524288,94164,4,0
1117,19,12,17,524288,43776,4,0
1118,19,13,17,524288,16644,4,0
1119,19,14,17,524288,5016,4,0
1120,19,15,17,524288,1140,4,0
1121,19,16,17,524288,171,4,0
1122,19,0,18,524288,524286,2,1
1123,19,1,18,524288,524267,2,0
1124,19,2,18,524288,524096,2,0
1125,19,3,18,524288,523127,2,0
1126,19,4,18,524288,519251,2,0
1127,19,5,18,524288,507623,2,0
1128,19,6,18,524288,480491,2,0
1129,19,7,18,524288,430103,2,0
1130,19,8,18,524288,354521,2,0
1131,19,9,18,524288,262143,2,0
1132,19,10,18,524288,169765,2,0
1133,19,11,18,524288,94183,2,0
1134,19,12,18,524288,43795,2,0
1135,19,13,18,524288,16663,2,0
1136,19,14,18,524288,5035,2,0
1137,19,15,18,524288,1159,2,0
1138,19,16,18,524288,190,2,0
1139,19,17,18,524288,19,2,0
1140,20,0,1,1048576,20,2,19
1141,20,0,2,1048576,210,2,9
1142,20,1,2,1048576,190,4,9
1143,20,0,3,1048576,1350,2,6
1144,20,1,3,1048576,1330,4,6
1145,20,2,3,1048576,1140,8,5
1146,20,0,4,1048576,6195,2,4
1147,20,1,4,1048576,6175,4,4
1148,20,2,4,1048576,5985,8,4
1149,20,3,4,1048576,4845,16,4
1150,20,0,5,1048576,21699,2,3
1151,20,1,5,1048576,21679,4,3
1152,20,2,5,1048576,21489,8,3
1153,20,3,5,1048576,20349,16,3
1154,20,4,5,1048576,15504,32,3
1155,20,0,6,1048576,60459,2,3
1156,20,1,6,1048576,60439,4,3
1157,20,2,6,1048576,60249,8,2
1158,20,3,6,1048576,59109,16,2
1159,20,4,6,1048576,54264,32,2
1160,20,5,6,1048576,38760,64,2
1161,20,0,7,1048576,137979,2,2
1162,20,1,7,1048576,137959,4,2
1163,20,2,7,1048576,137769,8,2
1164,20,3,7,1048576,136629,16,2
1165,20,4,7,1048576,131784,32,2
1166,20,5,7,1048576,116280,64,2
1167,20,6,7,1048576,77520,128,1
1168,20,0,8,1048576,263949,2,2
1169,20,1,8,1048576,263929,4,2
1170,20,2,8,1048576,263739,8,2
1171,20,3,8,1048576,262599,16,2
1172,20,4,8,1048576,257754,32,1
1173,20,5,8,1048576,242250,64,1
1174,20,6,8,1048576,203490,128,1
1175,20,7,8,1048576,125970,256,1
1176,20,0,9,1048576,431909,2,2
1177,20,1,9,1048576,431889,4,2
1178,20,2,9,1048576,431699,8,1
1179,20,3,9,1048576,430559,16,1
1180,20,4,9,1048576,425714,32,1
1181,20,5,9,1048576,410210,64,1
1182,20,6,9,1048576,371450,128,1
1183,20,7,9,1048576,293930,256,1
1184,20,8,9,1048576,167960,512,1
1185,20,0,10,1048576,616665,2,1
1186,20,1,10,1048576,616645,4,1
1187,20,2,10,1048576,616455,8,1
1188,20,3,10,1048576,615315,16,1
1189,20,4,10,1048576,610470,32,1
1190,20,5,10,1048576,594966,64,1
1191,20,6,10,1048576,556206,128,1
1192,20,7,10,1048576,478686,256,1
1193,20,8,10,1048576,352716,512,1
1194,20,9,10,1048576,184756,1024,1
1195,20,0,11,1048576,784625,2,1
1196,20,1,11,1048576,784605,4,1
1197,20,2,11,1048576,784415,8,1
1198,20,3,11,1048576,783275,16,1
1199,20,4,11,1048576,778430,32,1
1200,20,5,11,1048576,762926,64,1
1201,20,6,11,1048576,724166,128,1
1202,20,7,11,1048576,646646,256,1
1203,20,8,11,1048576,520676,512,1
1204,20,9,11,1048576,352716,512,0
1205,20,10,11,1048576,167960,512,0
1206,20,0,12,1048576,910595,2,1
1207,20,1,12,1048576,910575,4,1
1208,20,2,12,1048576,910385,8,1
1209,20,3,12,1048576,909245,16,1
1210,20,4,12,1048576,904400,32,1
1211,20,5,12,1048576,888896,64,1
1212,20,6,12,1048576,850136,128,1
1213,20,7,12,1048576,772616,256,1
1214,20,8,12,1048576,646646,256,0
1215,20,9,12,1048576,478686,256,0
1216,20,10,12,1048576,293930,256,0
1217,20,11,12,1048576,125970,256,0
1218,20,0,13,1048576,988115,2,1
1219,20,1,13,1048576,988095,4,1
1220,20,2,13,1048576,987905,8,1
1221,20,3,13,1048576,986765,16,1
1222,20,4,13,1048576,981920,32,1
1223,20,5,13,1048576,966416,64,1
1224,20,6,13,1048576,927656,128,1
1225,20,7,13,1048576,850136,128,0
1226,20,8,13,1048576,724166,128,0
1227,20,9,13,1048576,556206,128,0
1228,20,10,13,1048576,371450,128,0
1229,20,11,13,1048576,203490,128,0
1230,20,12,13,1048576,77520,128,0
1231,20,0,14,1048576,1026875,2,1
1232,20,1,14,1048576,1026855,4,1
1233,20,2,14,1048576,1026665,8,1
1234,20,3,14,1048576,1025525,16,1
1235,20,4,14,1048576,1020680,32,1
1236,20,5,14,1048576,1005176,64,1
1237,20,6,14,1048576,966416,64,0
1238,20,7,14,1048576,888896,64,0
1239,20,8,14,1048576,762926,64,0
1240,20,9,14,1048576,594966,64,0
1241,20,10,14,1048576,410210,64,0
1242,20,11,14,1048576,242250,64,0
1243,20,12,14,1048576,116280,64,0
1244,20,13,14,1048576,38760,64,0
1245,20,0,15,1048576,1042379,2,1
1246,20,1,15,1048576,1042359,4,1
1247,20,2,15,1048576,1042169,8,1
1248,20,3,15,1048576,1041029,16,1
1249,20,4,15,1048576,1036184,32,1
1250,20,5,15,1048576,1020680,32,0
1251,20,6,15,1048576,981920,32,0
1252,20,7,15,1048576,904400,32,0
1253,20,8,15,1048576,778430,32,0
1254,20,9,15,1048576,610470,32,0
1255,20,10,15,1048576,425714,32,0
1256,20,11,15,1048576,257754,32,0
1257,20,12,15,1048576,131784,32,0
1258,20,13,15,1048576,54264,32,0
1259,20,14,15,1048576,15504,32,0
1260,20,0,16,1048576,1047224,2,1
1261,20,1,16,1048576,1047204,4,1
1262,20,2,16,1048576,1047014,8,1
1263,20,3,16,1048576,1045874,16,1
1264,20,4,16,1048576,1041029,16,0
1265,20,5,16,1048576,1025525,16,0
1266,20,6,16,1048576,986765,16,0
1267,20,7,16,1048576,909245,16,0
1268,20,8,16,1048576,783275,16,0
1269,20,9,16,1048576,615315,16,0
1270,20,10,16,1048576,430559,16,0
1271,20,11,16,1048576,262599,16,0
1272,20,12,16,1048576,136629,16,0
1273,20,13,16,1048576,59109,16,0
1274,20,14,16,1048576,20349,16,0
1275,20,15,16,1048576,4845,16,0
1276,20,0,17,1048576,1048364,2,1
1277,20,1,17,1048576,1048344,4,1
1278,20,2,17,1048576,1048154,8,1
1279,20,3,17,1048576,1047014,8,0
1280,20,4,17,1048576,1042169,8,0
1281,20,5,17,1048576,1026665,8,0
1282,20,6,17,1048576,987905,8,0
1283,20,7,17,1048576,910385,8,0
1284,20,8,17,1048576,784415,8,0
1285,20,9,17,1048576,616455,8,0
1286,20,10,17,1048576,431699,8,0
1287,20,11,17,1048576,263739,8,0
1288,20,12,17,1048576,137769,8,0
1289,20,13,17,1048576,60249,8,0
1290,20,14,17,1048576,21489,8,0
1291,20,15,17,1048576,5985,8,0
1292,20,16,17,1048576,1140,8,0
1293,20,0,18,1048576,1048554,2,1
1294,20,1,18,1048576,1048534,4,1
1295,20,2,18,1048576,1048344,4,0
1296,20,3,18,1048576,1047204,4,0
1297,20,4,18,1048576,1042359,4,0
1298,20,5,18,1048576,1026855,4,0
1299,20,6,18,1048576,988095,4,0
1300,20,7,18,1048576,910575,4,0
1301,20,8,18,1048576,784605,4,0
1302,20,9,18,1048576,616645,4,0
1303,20,10,18,1048576,431889,4,0
1304,20,11,18,1048576,263929,4,0
1305,20,12,18,1048576,137959,4,0
1306,20,13,18,1048576,60439,4,0
1307,20,14,18,1048576,21679,4,0
1308,20,15,18,1048576,6175,4,0
1309,20,16,18,1048576,1330,4,0
1310,20,17,18,1048576,190,4,0
1311,20,0,19,1048576,1048574,2,1
1312,20,1,19,1048576,1048554,2,0
1313,20,2,19,1048576,1048364,2,0
1314,20,3,19,1048576,1047224,2,0
1315,20,4,19,1048576,1042379,2,0
1316,20,5,19,1048576,1026875,2,0
1317,20,6,19,1048576,988115,2,0
1318,20,7,19,1048576,910595,2,0
1319,20,8,19,1048576,784625,2,0
1320,20,9,19,1048576,616665,2,0
1321,20,10,19,1048576,431909,2,0
1322,20,11,19,1048576,263949,2,0
1323,20,12,19,1048576,137979,2,0
1324,20,13,19,1048576,60459,2,0
1325,20,14,19,1048576,21699,2,0
1326,20,15,19,1048576,6195,2,0
1327,20,16,19,1048576,1350,2,0
1328,20,17,19,1048576,210,2,0
1329,20,18,19,1048576,20,2,0
